date,minutesAwake,minutesAsleep,minutesToFallAsleep,timeInBed
2022-04-20,63,431,0,494
2022-04-19,45,422,0,467
2022-04-18,52,423,0,475
2022-04-17,61,457,0,518
2022-04-16,58,462,0,520
2022-04-15,51,410,0,461
2022-04-14,49,366,0,415
2022-04-13,61,369,0,430
2022-04-12,56,402,0,458
2022-04-11,40,389,0,429
2022-04-10,40,476,0,516
date,minutesAwake,minutesAsleep,minutesToFallAsleep,timeInBed
2022-04-20,63,431,0,494
2022-04-19,45,422,0,467
2022-04-18,52,423,0,475
2022-04-17,61,457,0,518
2022-04-16,58,462,0,520
2022-04-15,51,410,0,461
2022-04-14,49,366,0,415
2022-04-13,61,369,0,430
2022-04-12,56,402,0,458
2022-04-11,40,389,0,429
2022-04-10,40,476,0,516
