date,minutesAwake,minutesAsleep,minutesToFallAsleep,timeInBed
2022-04-16,33,326,0,359
2022-04-14,40,317,0,357
2022-04-13,58,410,0,468
2022-04-10,4,129,0,133
2022-04-09,62,419,0,481
2022-04-08,49,429,0,478
2022-04-07,51,458,0,509
2022-04-06,61,435,0,496
2022-04-05,57,429,0,486
